Entry,Entry Category,Origin,Entry Status,GitHub URL,Slug,Sorting Algorithm,EntryNumber,State,Entry Summary,Record ID
360° video,,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/360-video.md,360-video,0,,Draft,,recXr9rborneJZkjn
alluvial diagram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/alluvial-diagram.md,alluvial-diagram,0,,Draft,,recM6eZjKuvAlYV7T
animation,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/animation.md,animation,0,,Draft,,recR9TRfjrdUfgiZd
annotations,publishing technique,art,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/annotations.md,annotations,2282,1,Active,,recSvtvBFWynrILm5
arc diagram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/arc-diagram.md,arc-diagram,0,,Active,,rec0XETmGzF1jWq6e
artificial-intelligence,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/artificial-intelligence.md,artificial-intelligence,0,,Draft,,recD5D7mp6P3TrVwb
the artist's hand,concept,art,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/artists-hand.md,artists-hand,516,80,Active,,recKTKulynz6Gmi1S
audio forensic analysis,digital technique,journalism,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/audio-forensic-analysis.md,audio-forensic-analysis,1492,2,Active,,recNlaCvWBvdiM365
augmented reality (AR),,gaming,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/augmented-reality-ar.md,augmented-reality-ar,1666,3,Active,,rec2TN7I1lhO8qpHU
barchart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/barchart.md,barchart,0,,Active,,reczgZXEWspTRvXZQ
beeswarm plot,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/beeswarm-plot.md,beeswarm-plot,0,,Active,,recMaxkbkNU0C0Rb0
boxplot,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/boxplot.md,boxplot,0,,Active,,recyMoWXm2pTUK7cV
bubble chart (scatterplot),data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/bubble-chart-scatterplot.md,bubble-chart-scatterplot,0,,Active,,rechHqoN3smSfyBbR
bump chart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/bump-chart.md,bump-chart,0,,Active,,recLNY58vCu78rF6U
cacophany,story technique,music,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/cacophany.md,cacophany,84,4,Draft,,rectFbC35HWjPlWvs
cartography,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/cartography.md,cartography,122,5,Draft,,recDFXbGg7H7dKihu
chatbot,interaction technique,programming,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/chatbot.md,chatbot,494,6,Active,,rec7WJHDdZZvgB55n
chiaroscuro,design technique,art,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/chiaroscuro.md,chiaroscuro,544,7,Active,,recmHZtOaEISYOXRe
choice,concept,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/choice.md,choice,846,8,Active,,recPwgPgA9jz72piQ
circle packing,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/circle-packing.md,circle-packing,0,,Active,,reciZirvNbA7yDoFM
circular dendrogram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/circular-dendrogram.md,circular-dendrogram,0,,Active,,reciN3EdcdYG9Tg5X
color,fundamentals,art,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/color.md,color,1568,9,Active,,recFnNzpe6XNDZBfC
color scale,,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/color-scale.md,color-scale,57,10,Draft,,reciFgdLrfvJQS6Jq
completion bar,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/completion-bar.md,completion-bar,738,11,Active,,recLT2q4ToU6v1UZz
composite image,visual technique,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/composite-image.md,composite-image,219,12,Draft,,recCbJ5beScOCkahL
composition,fundamentals,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/composition.md,composition,0,13,Draft,,rec4NQGY2M0gw1Zxg
connection,fundamentals,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/connection.md,connection,392,14,Draft,,rec0UKZZfOO9CFa7u
contour plot,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/contour-plot.md,contour-plot,0,,Active,,recmjYoiGlDiTEF54
convex hulls chart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/convex-hulls.md,convex-hulls,0,,Active,,recVGLVmdvGVyDEwj
crescendo,story technique,music,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/crescendo.md,crescendo,0,15,Draft,,recwIzpa6xZKEW5AJ
CSS,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/css.md,css,0,16,Draft,,reca7flDQCbZm3Wva
d3,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/d3.md,d3,0,,Draft,,rect0NcHI3LfzDgk7
data,,data science,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/data.md,data,0,17,Draft,,recrUpdRThto5ZOeK
